activity_id,assay_id,standard_type,pchembl_value,tid,target_type,pref_name,class_level,lotus_id,pathway,superclass,class,pathway_superclass
13280988,956037,IC50,10.46,12921,SINGLE PROTEIN,Oxidoreductase,2.0,LTS0058299,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,"Shikimates and Phenylpropanoids, Coumarins"
12510420,915450,IC50,10.43,100148,SINGLE PROTEIN,Nicotinic acetylcholine receptor alpha subunit,4.0,LTS0030789,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
18686314,1780617,Ki,10.4,137,SINGLE PROTEIN,Opioid receptor,5.0,LTS0025415,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids,"Alkaloids, Tyrosine alkaloids"
19453018,1931007,IC50,10.3,103576,SINGLE PROTEIN,Atypical protein kinase FRAP subfamily,6.0,LTS0107850,Polyketides,Macrolides,Ascomycins and Rapamycins,"Polyketides, Macrolides"
762579,84698,IC50,10.3,11296,SINGLE PROTEIN,Histamine receptor,5.0,LTS0261727,Alkaloids,Tyrosine alkaloids,Aporphine alkaloids,"Alkaloids, Tyrosine alkaloids"
18012264,1654816,IC50,10.27,11092,SINGLE PROTEIN,Surface antigen,1.0,LTS0208974,Terpenoids,Triterpenoids,Oleanane triterpenoids,"Terpenoids, Triterpenoids"
94897,161791,IC50,10.19,12674,SINGLE PROTEIN,Protein phosphatase regulatory subunit,4.0,LTS0057516,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
1819145,428140,EC50,10.15,17113,SINGLE PROTEIN,Nuclear hormone receptor subfamily 1 group I member 1,5.0,LTS0173185,Terpenoids,Steroids,Vitamin D3 and derivatives,"Terpenoids, Steroids"
479783,161424,IC50,10.15,10020,SINGLE PROTEIN,Protein phosphatase regulatory subunit,4.0,LTS0001343,Polyketides,Polyethers,Polyether ionophores,"Polyketides, Polyethers"
841488,30104,Ki,10.15,12742,SINGLE PROTEIN,Adrenergic receptor,5.0,LTS0142195,Alkaloids,Other,Other,"Alkaloids, Other"
3220470,622878,Kd,10.15,101150,SINGLE PROTEIN,Nuclear hormone receptor subfamily 1 group I member 1,5.0,LTS0173185,Terpenoids,Steroids,Vitamin D3 and derivatives,"Terpenoids, Steroids"
18012273,1654816,IC50,10.02,11092,SINGLE PROTEIN,Membrane receptor,1.0,LTS0171043,Terpenoids,Triterpenoids,Oleanane triterpenoids,"Terpenoids, Triterpenoids"
1034791,161130,Ki,10.0,11716,SINGLE PROTEIN,AGC protein kinase PKC eta subfamily,6.0,LTS0118881,Alkaloids,Tryptophan alkaloids,Other,"Alkaloids, Tryptophan alkaloids"
18481256,1750222,Ki,10.0,11564,SINGLE PROTEIN,Hydrolase,2.0,LTS0269367,Terpenoids,Sesquiterpenoids,Thapsane sesquiterpenoids,"Terpenoids, Sesquiterpenoids"
493017,161424,IC50,10.0,10020,SINGLE PROTEIN,Protein phosphatase regulatory subunit,4.0,LTS0057516,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
12039655,848578,Ki,9.96,11617,SINGLE PROTEIN,AGC protein kinase PKC eta subfamily,6.0,LTS0190868,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
12039656,848579,Ki,9.96,12665,SINGLE PROTEIN,AGC protein kinase PKC delta subfamily,6.0,LTS0190868,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
2677427,575592,IC50,9.96,12697,SINGLE PROTEIN,HDAC class I,4.0,LTS0236276,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
19107137,1868672,EC50,9.91,100869,SINGLE PROTEIN,Melatonin receptor,5.0,LTS0219322,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,"Alkaloids, Tryptophan alkaloids"
13965789,1300201,EC50,9.9,174,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group A member 2,5.0,LTS0188369,Terpenoids,Steroids,Estrane steroids,"Terpenoids, Steroids"
1219212,33595,Ki,9.9,10651,SINGLE PROTEIN,Adrenergic receptor,5.0,LTS0142195,Alkaloids,Other,Other,"Alkaloids, Other"
18587951,1771688,IC50,9.89,103477,SINGLE PROTEIN,Transferase,2.0,LTS0166128,Fatty acids,Fatty Acids and Conjugates,Oxo fatty acids,"Fatty acids, Fatty Acids and Conjugates"
502390,161424,IC50,9.89,10020,SINGLE PROTEIN,Protein phosphatase regulatory subunit,4.0,LTS0252021,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
778081,202115,IC50,9.85,11320,SINGLE PROTEIN,Enzyme,1.0,LTS0172903,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
12651619,941808,EC50,9.85,56,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group C member 4,5.0,LTS0192710,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,"Alkaloids, Tryptophan alkaloids"
18095491,1671052,EC50,9.85,108257,SINGLE PROTEIN,Nuclear hormone receptor subfamily 1 group I member 1,5.0,LTS0200069,Terpenoids,Steroids,Vitamin D3 and derivatives,"Terpenoids, Steroids"
1651984,325015,Kd,9.82,30039,SINGLE PROTEIN,STE protein kinase MST subfamily,6.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
19323251,1915584,Ki,9.82,119104,SINGLE PROTEIN,Ligase,2.0,LTS0192710,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,"Alkaloids, Tryptophan alkaloids"
7947447,789190,IC50,9.8,47,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0004196,Alkaloids,Lysine alkaloids,Piperidine alkaloids,"Alkaloids, Lysine alkaloids"
3504860,665137,Ki,9.8,12665,SINGLE PROTEIN,AGC protein kinase PKC delta subfamily,6.0,LTS0059840,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
19323250,1915584,Ki,9.8,119104,SINGLE PROTEIN,Ligase,2.0,LTS0116548,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,"Shikimates and Phenylpropanoids, Phenolic acids (C6-C1)"
7598820,774210,Kd,9.8,12415,SINGLE PROTEIN,CAMK protein kinase CAMK2 family,5.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
1219214,34186,Kd,9.8,12853,SINGLE PROTEIN,Adrenergic receptor,5.0,LTS0142195,Alkaloids,Other,Other,"Alkaloids, Other"
12039651,848574,Ki,9.77,11636,SINGLE PROTEIN,AGC protein kinase PKC alpha subfamily,6.0,LTS0190868,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
12548647,923998,IC50,9.77,106601,SINGLE PROTEIN,Transmembrane 1-electron transfer carriers,2.0,LTS0257248,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavanones,"Shikimates and Phenylpropanoids, Isoflavonoids"
2432016,484347,IC50,9.7,11320,SINGLE PROTEIN,Enzyme,1.0,LTS0081585,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
7673524,774689,IC50,9.7,10577,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0042813,Alkaloids,Tryptophan alkaloids,Ergot alkaloids,"Alkaloids, Tryptophan alkaloids"
15049565,1458980,Kd,9.7,10257,SINGLE PROTEIN,Isomerase,2.0,LTS0107850,Polyketides,Macrolides,Ascomycins and Rapamycins,"Polyketides, Macrolides"
2366384,539532,IC50,9.7,100202,SINGLE PROTEIN,Transferase,2.0,LTS0131234,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,"Alkaloids, Nicotinic acid alkaloids"
5092163,690938,IC50,9.7,103827,SINGLE PROTEIN,Unclassified protein,1.0,LTS0110479,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
9572081,809203,Ki,9.7,30032,SINGLE PROTEIN,Other protein kinase Meta subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
841487,30103,Ki,9.7,17061,SINGLE PROTEIN,Adrenergic receptor,5.0,LTS0142195,Alkaloids,Other,Other,"Alkaloids, Other"
864716,32284,Kd,9.69,12474,SINGLE PROTEIN,Adrenergic receptor,5.0,LTS0142195,Alkaloids,Other,Other,"Alkaloids, Other"
15068931,1434935,EC50,9.68,64,SINGLE PROTEIN,Nuclear hormone receptor subfamily 1 group I member 1,5.0,LTS0243695,Terpenoids,Steroids,Vitamin D3 and derivatives,"Terpenoids, Steroids"
18012269,1654816,IC50,9.66,11092,SINGLE PROTEIN,Surface antigen,1.0,LTS0157813,Terpenoids,Triterpenoids,Oleanane triterpenoids,"Terpenoids, Triterpenoids"
18012267,1654816,IC50,9.66,11092,SINGLE PROTEIN,Surface antigen,1.0,LTS0002247,Terpenoids,Triterpenoids,Oleanane triterpenoids,"Terpenoids, Triterpenoids"
16482508,1557253,EC50,9.66,108,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0170784,Amino acids and Peptides,Small peptides,Aminoacids,"Amino acids and Peptides, Small peptides"
19491374,1936697,EC50,9.64,119204,SINGLE PROTEIN,Family A G protein-coupled receptor,2.0,LTS0165325,Fatty acids,Fatty Acids and Conjugates,Dicarboxylic acids,"Fatty acids, Fatty Acids and Conjugates"
7947452,789189,IC50,9.6,219,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0004196,Alkaloids,Lysine alkaloids,Piperidine alkaloids,"Alkaloids, Lysine alkaloids"
7598840,774239,Kd,9.6,104318,SINGLE PROTEIN,Protein Kinase,3.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9515290,809117,Ki,9.6,11379,SINGLE PROTEIN,Tyrosine protein kinase Met family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
18919967,1823207,IC50,9.59,10452,SINGLE PROTEIN,Cysteine protease C1A family,5.0,LTS0166055,Amino acids and Peptides,Oligopeptides,Depsipeptides,"Amino acids and Peptides, Oligopeptides"
12039650,848573,Ki,9.59,11635,SINGLE PROTEIN,AGC protein kinase PKC alpha subfamily,6.0,LTS0190868,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
13876475,1283821,Ki,9.57,219,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0163635,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
12165636,879313,Ki,9.57,106661,SINGLE PROTEIN,Cysteine protease C3A subfamily,5.0,LTS0152363,Alkaloids,Other,Other,"Alkaloids, Other"
13876510,1283822,Ki,9.57,61,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0163635,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
689946,62264,Ki,9.55,130,SINGLE PROTEIN,Dopamine receptor,5.0,LTS0142195,Alkaloids,Other,Other,"Alkaloids, Other"
18012268,1654816,IC50,9.55,11092,SINGLE PROTEIN,Membrane receptor,1.0,LTS0070501,Terpenoids,Triterpenoids,Oleanane triterpenoids,"Terpenoids, Triterpenoids"
12437615,908842,Ki,9.52,101435,SINGLE PROTEIN,Unclassified protein,1.0,LTS0030789,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
10867763,815008,IC50,9.52,11722,SINGLE PROTEIN,Aspartic protease A1A subfamily,5.0,LTS0188701,Amino acids and Peptides,Oligopeptides,RiPPs,"Amino acids and Peptides, Oligopeptides"
13829000,1276168,EC50,9.52,10809,SINGLE PROTEIN,EDG receptor,5.0,LTS0203935,Polyketides,Aromatic polyketides,Catechols with side chains,"Polyketides, Aromatic polyketides"
5146561,709399,IC50,9.52,103875,SINGLE PROTEIN,Enzyme,1.0,LTS0229483,Other,Other,Other,"Other, Other"
3057723,606222,EC50,9.52,12752,SINGLE PROTEIN,Nuclear hormone receptor subfamily 1 group I member 1,5.0,LTS0173185,Terpenoids,Steroids,Vitamin D3 and derivatives,"Terpenoids, Steroids"
18586425,1771434,IC50,9.52,117267,SINGLE PROTEIN,Aspartic protease,3.0,LTS0169498,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
2334052,549059,IC50,9.52,11120,SINGLE PROTEIN,Enzyme,1.0,LTS0082505,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
15136657,1455104,IC50,9.52,12021,SINGLE PROTEIN,HDAC class IV,4.0,LTS0201993,Amino acids and Peptides,Other,Other,"Amino acids and Peptides, Other"
3224271,620294,EC50,9.52,36,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group C member 3,5.0,LTS0051411,Alkaloids,Tryptophan alkaloids,Indole-Diterpenoid alkaloids (Penitrems),"Alkaloids, Tryptophan alkaloids"
9581348,809248,Ki,9.5,101348,SINGLE PROTEIN,AGC protein kinase PKA family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
920241,2461,IC50,9.5,107,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0194526,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,"Alkaloids, Tryptophan alkaloids"
9619446,809252,Ki,9.5,100854,SINGLE PROTEIN,CAMK protein kinase MELK subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9536883,809149,Ki,9.5,11364,SINGLE PROTEIN,CAMK protein kinase AMPK subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
532820,160791,Ki,9.49,12247,SINGLE PROTEIN,AGC protein kinase PKC delta subfamily,6.0,LTS0118881,Alkaloids,Tryptophan alkaloids,Other,"Alkaloids, Tryptophan alkaloids"
16589712,1577793,IC50,9.48,116792,SINGLE PROTEIN,CAMK protein kinase TSSK family,5.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
12164716,878019,IC50,9.48,12518,SINGLE PROTEIN,Kainate receptor,4.0,LTS0018834,Alkaloids,Ornithine alkaloids,Polyamines,"Alkaloids, Ornithine alkaloids"
34231,34045,Kd,9.47,12514,SINGLE PROTEIN,Adrenergic receptor,5.0,LTS0142195,Alkaloids,Other,Other,"Alkaloids, Other"
18706556,1784570,IC50,9.46,117805,SINGLE PROTEIN,Transferase,2.0,LTS0152175,Amino acids and Peptides,Other,Other,"Amino acids and Peptides, Other"
3504861,665136,Ki,9.44,11617,SINGLE PROTEIN,AGC protein kinase PKC eta subfamily,6.0,LTS0059840,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
16505966,1560572,Ki,9.44,129,SINGLE PROTEIN,Opioid receptor,5.0,LTS0175846,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids,"Alkaloids, Tyrosine alkaloids"
12039652,848575,Ki,9.42,10880,SINGLE PROTEIN,AGC protein kinase PKC alpha subfamily,6.0,LTS0190868,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
18652437,1772762,Ki,9.42,109928,SINGLE PROTEIN,Enzyme,1.0,LTS0029112,Alkaloids,Other,Other,"Alkaloids, Other"
9575885,809204,Ki,9.4,100140,SINGLE PROTEIN,CAMK protein kinase MARK subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
15049580,1458980,Kd,9.4,10257,SINGLE PROTEIN,Isomerase,2.0,LTS0216864,Polyketides,Macrolides,Ascomycins and Rapamycins,"Polyketides, Macrolides"
1776803,416719,IC50,9.4,100823,SINGLE PROTEIN,HDAC class I,4.0,LTS0081223,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
9565110,809133,Ki,9.4,10277,SINGLE PROTEIN,STE protein kinase MST subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9574037,809254,Ki,9.4,103154,SINGLE PROTEIN,TKL protein kinase LRRK family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
18357853,1725723,IC50,9.4,11722,SINGLE PROTEIN,Aspartic protease A1A subfamily,5.0,LTS0274908,Amino acids and Peptides,Oligopeptides,Depsipeptides,"Amino acids and Peptides, Oligopeptides"
7951005,789796,IC50,9.4,19,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group A member 1,5.0,LTS0135417,Shikimates and Phenylpropanoids,Other,Other,"Shikimates and Phenylpropanoids, Other"
3504867,665130,Ki,9.4,11635,SINGLE PROTEIN,AGC protein kinase PKC alpha subfamily,6.0,LTS0059840,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
2666387,576148,IC50,9.4,10702,SINGLE PROTEIN,Metallo protease M24A subfamily,5.0,LTS0239842,Terpenoids,Sesquiterpenoids,Other,"Terpenoids, Sesquiterpenoids"
2432015,484347,IC50,9.4,11320,SINGLE PROTEIN,Enzyme,1.0,LTS0082505,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
3504866,665131,Ki,9.35,11636,SINGLE PROTEIN,AGC protein kinase PKC alpha subfamily,6.0,LTS0059840,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
54724,40441,Ki,9.34,10402,SINGLE PROTEIN,Bradykinin receptor,5.0,LTS0150409,Amino acids and Peptides,Oligopeptides,RiPPs,"Amino acids and Peptides, Oligopeptides"
15615280,1497523,Ki,9.32,11635,SINGLE PROTEIN,AGC protein kinase PKC alpha subfamily,6.0,LTS0032764,Polyketides,Macrolides,Bryostatins,"Polyketides, Macrolides"
16478889,1553956,Ki,9.31,36,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group C member 3,5.0,LTS0114608,Terpenoids,Steroids,Estrane steroids,"Terpenoids, Steroids"
18033281,1658414,Kd,9.3,48,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group C member 2,5.0,LTS0184473,Terpenoids,Steroids,Pregnane steroids,"Terpenoids, Steroids"
9598531,809199,Ki,9.3,101019,SINGLE PROTEIN,Tyrosine protein kinase Sev family,5.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
9627560,809170,Ki,9.3,11149,SINGLE PROTEIN,AGC protein kinase ROCK subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
5113953,696802,Kd,9.3,100147,SINGLE PROTEIN,Other nuclear protein,1.0,LTS0107850,Polyketides,Macrolides,Ascomycins and Rapamycins,"Polyketides, Macrolides"
2408159,564353,EC50,9.3,216,SINGLE PROTEIN,Adrenergic receptor,5.0,LTS0022555,Carbohydrates,Saccharides,Monosaccharides,"Carbohydrates, Saccharides"
19143399,1875737,Ki,9.3,14,SINGLE PROTEIN,Hydrolase,2.0,LTS0069464,Carbohydrates,Other,Other,"Carbohydrates, Other"
1652292,325076,Kd,9.3,11622,SINGLE PROTEIN,CAMK protein kinase CAMK2 family,5.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
18033282,1658414,Kd,9.3,48,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group C member 2,5.0,LTS0110517,Terpenoids,Steroids,Pregnane steroids,"Terpenoids, Steroids"
19148504,1878294,Ki,9.3,10280,SINGLE PROTEIN,Histamine receptor,5.0,LTS0219322,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,"Alkaloids, Tryptophan alkaloids"
19323246,1915584,Ki,9.3,119104,SINGLE PROTEIN,Ligase,2.0,LTS0114097,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Simple phenolic acids,"Shikimates and Phenylpropanoids, Phenolic acids (C6-C1)"
7951004,789796,IC50,9.3,19,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group A member 1,5.0,LTS0191586,Shikimates and Phenylpropanoids,Other,Other,"Shikimates and Phenylpropanoids, Other"
195175,86748,Ki,9.3,11300,SINGLE PROTEIN,Histamine receptor,5.0,LTS0122981,Alkaloids,Histidine alkaloids,Imidazole alkaloids,"Alkaloids, Histidine alkaloids"
2899323,586845,Kd,9.29,100855,SINGLE PROTEIN,CAMK protein kinase PIM family,5.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
3395364,648989,Ki,9.28,12485,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0185864,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
20606310,1972213,EC50,9.28,10620,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0141462,Alkaloids,Tryptophan alkaloids,Simple indole alkaloids,"Alkaloids, Tryptophan alkaloids"
16478894,1553955,Ki,9.27,48,SINGLE PROTEIN,Nuclear hormone receptor subfamily 3 group C member 2,5.0,LTS0114608,Terpenoids,Steroids,Estrane steroids,"Terpenoids, Steroids"
22843619,2065352,IC50,9.27,12683,SINGLE PROTEIN,Atypical protein kinase PDHK subfamily,5.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
5092161,690936,Ki,9.26,103825,SINGLE PROTEIN,Transferase,2.0,LTS0110479,Amino acids and Peptides,Oligopeptides,Cyclic peptides,"Amino acids and Peptides, Oligopeptides"
22850704,2068239,IC50,9.26,117907,SINGLE PROTEIN,Transferase,2.0,LTS0173365,Carbohydrates,Nucleosides,Purine nucleosides,"Carbohydrates, Nucleosides"
2098563,468561,Ki,9.25,12485,SINGLE PROTEIN,Acetylcholine receptor,5.0,LTS0163635,Alkaloids,Ornithine alkaloids,Tropane alkaloids,"Alkaloids, Ornithine alkaloids"
7634716,774752,IC50,9.23,130,SINGLE PROTEIN,Dopamine receptor,5.0,LTS0209332,Alkaloids,Tryptophan alkaloids,Ergot alkaloids,"Alkaloids, Tryptophan alkaloids"
622926,211023,IC50,9.22,11505,SINGLE PROTEIN,Ligase,2.0,LTS0060727,Other,Other,Other,"Other, Other"
18662268,1775381,IC50,9.22,11140,SINGLE PROTEIN,Serine protease S9B subfamily,5.0,LTS0256677,Shikimates and Phenylpropanoids,Stilbenoids,Monomeric stilbenes,"Shikimates and Phenylpropanoids, Stilbenoids"
2401886,563009,IC50,9.22,101012,SINGLE PROTEIN,HDAC class I,4.0,LTS0081223,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
824533,216194,EC50,9.22,250,SINGLE PROTEIN,Neurokinin receptor,5.0,LTS0264559,Amino acids and Peptides,Oligopeptides,RiPPs,"Amino acids and Peptides, Oligopeptides"
3504865,665132,Ki,9.2,10880,SINGLE PROTEIN,AGC protein kinase PKC alpha subfamily,6.0,LTS0059840,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
12039654,848577,Ki,9.2,10878,SINGLE PROTEIN,AGC protein kinase PKC eta subfamily,6.0,LTS0190868,Polyketides,Macrolides,Other,"Polyketides, Macrolides"
9685881,809258,Ki,9.2,30049,SINGLE PROTEIN,STE protein kinase KHS subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
6357148,770074,IC50,9.2,10529,SINGLE PROTEIN,Opioid receptor,5.0,LTS0020080,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids,"Alkaloids, Tyrosine alkaloids"
9595946,809232,Ki,9.2,101504,SINGLE PROTEIN,CAMK protein kinase QIK subfamily,6.0,LTS0133000,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
12183328,883192,Ki,9.18,11300,SINGLE PROTEIN,Histamine receptor,5.0,LTS0203821,Alkaloids,Other,Other,"Alkaloids, Other"
22843823,2065556,IC50,9.18,30002,SINGLE PROTEIN,CAMK protein kinase CAMK2 family,5.0,LTS0171945,Alkaloids,Tryptophan alkaloids,Carbazole alkaloids,"Alkaloids, Tryptophan alkaloids"
7700635,774688,IC50,9.18,10576,SINGLE PROTEIN,Serotonin receptor,5.0,LTS0083989,Alkaloids,Tryptophan alkaloids,Ergot alkaloids,"Alkaloids, Tryptophan alkaloids"
2450130,487956,Ki,9.18,12518,SINGLE PROTEIN,Kainate receptor,4.0,LTS0082507,Amino acids and Peptides,Small peptides,Aminoacids,"Amino acids and Peptides, Small peptides"
2166358,479736,IC50,9.17,18046,SINGLE PROTEIN,Aspartic protease A1A subfamily,5.0,LTS0169498,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
100768,161770,IC50,9.17,13061,SINGLE PROTEIN,Tyrosine protein phosphatase,4.0,LTS0116256,Polyketides,Linear polyketides,Open-chain polyketides,"Polyketides, Linear polyketides"
5131600,700658,Ki,9.17,102979,SINGLE PROTEIN,Enzyme,1.0,LTS0063398,Shikimates and Phenylpropanoids,Other,Other,"Shikimates and Phenylpropanoids, Other"
